Site,Block,Paddock,grazing trt,Control #,percent BRTE,percent Forb,percent seeded grass,percent SD forb,B. tectorum,Forbs,SUM seeded grasses,SUM SD forb,Residual percent BRTE,Residual B. tectorum,Residual percent Forb,Residual Sqrt(Forbs)
NV,one,P1,fall,C1,42.96413468,50.24050102,0,6.795364303,26.618,31.126,0,4.21,-5.22419854,-0.434111111,3.688046098,0.609361298
NV,one,P1,fall,C2,24.41272865,73.88721161,0,1.700059736,15.121,45.765,0,1.053,-23.77560457,-11.93111111,27.33475669,1.795276646
NV,one,P1,fall,C3,82.90609568,15.61239492,1.481509406,0,43.985,8.283,0.786,0,34.71776246,16.93288889,-30.94006,-2.091686571
NV,one,P1,fall,C4,38.48193821,60.38529295,0,1.132768843,20.315,31.878,0,0.598,-9.706395011,-6.737111111,13.83283803,0.676353849
NV,one,P1,fall,C5,63.16898374,31.08649503,0,5.744521237,39.576,19.476,0,3.599,14.98065052,12.52388889,-15.46595989,-0.556544593
NV,one,P1,fall,C6,74.25573022,17.41679108,5.638008255,2.689470449,33.822,7.933,2.568,1.225,26.067397,6.769888889,-29.13566384,-2.153148541
NV,one,P2,spring,C1,36.36720283,57.75990585,5.87289133,0,9.27,14.723,1.497,0,-6.510209517,-10.09388889,12.74091861,-0.465589848
NV,one,P2,spring,C2,28.22394115,66.89796383,4.878095021,0,14.887,35.286,2.573,0,-14.65347119,-4.476888889,21.87897659,1.637556006
NV,one,P2,spring,C3,79.05864153,19.05348497,0.143237746,1.744635746,27.597,6.651,0.05,0.609,36.18122919,8.233111111,-25.96550226,-1.723692735
NV,one,P2,spring,C4,43.46394558,52.71020408,3.82585034,0,15.973,19.371,1.406,0,0.586533237,-3.390888889,7.691216846,0.098603811
NV,one,P2,spring,C5,26.88569336,51.13840623,21.97590041,0,8.077,15.363,6.602,0,-15.99171898,-11.28688889,6.119418995,-0.383079709
NV,one,P2,spring,C6,19.44642819,79.51481313,0,1.038758683,8.986,36.743,0,0.48,-23.43098416,-10.37788889,34.4958259,1.758954438
NV,one,P3,ungrazed,C1,63.35263484,30.25419717,6.393167996,0,34.792,16.615,3.511,0,3.308702865,3.702833333,3.554312094,0.682405777
NV,one,P3,ungrazed,C2,54.40424171,19.15165725,26.44410103,0,20.419,7.188,9.925,0,-5.639690258,-10.67016667,-7.54822782,-0.712699795
NV,one,P3,ungrazed,C3,23.49673203,55.81699346,20.68627451,0,2.876,6.832,2.532,0,-36.54719995,-28.21316667,29.11710839,-0.779934887
NV,one,P3,ungrazed,C4,85.38730425,12.58529083,2.027404922,0,61.069,9.001,1.45,0,25.34337228,29.97983333,-14.11459424,-0.393577706
NV,one,P3,ungrazed,C5,69.84998692,26.88110691,3.268906165,0,29.381,11.307,1.375,0,9.806054952,-1.708166667,0.181221839,-0.031156079
NV,one,P3,ungrazed,C6,50.6819854,1.013073745,45.53172223,2.773218632,8.955,0.179,8.045,0.49,-9.361946574,-22.13416667,-25.68681133,-2.970660452
NV,two,P4,spring,C1,46.63842123,1.54606608,51.81551269,0,12.549,0.416,13.942,0,3.761008887,-6.814888889,-43.47292116,-3.657665391
NV,two,P4,spring,C2,48.43835497,42.26619099,9.295454048,0,22.131,19.311,4.247,0,5.560942624,2.767111111,-2.752796249,0.091782279
NV,two,P4,spring,C3,49.56682197,46.16944983,0.312778098,3.950950113,37.875,35.279,0.239,3.019,6.689409624,18.51111111,1.150462589,1.636966771
NV,two,P4,spring,C4,84.56830761,8.904493697,0,6.527198693,34.684,3.652,0,2.677,41.69089527,15.32011111,-36.11449354,-2.391625341
