Exclude for Cover Analyses,State,Date,Block,Paddock,Plot,control Desc,Grazing,Fuelbreak/control,Spatial_arrangement,Seed Rate,Water,Species,Coating,Distance Along Transect_m,BRTE,percent BRTE,Introduced forbs,percent introduced forbs,Rock+Bare,SUM native grasses,SUM native forbs,SUM SD forb,Moss/Lichen/Crust,Litter,Rock,Bare,Height (cm),Native grass count (low data quality),BRTE count,Biomass of strip,Fuel Continuity of strip,Cover of strip,Notes,Notes about Plot 8 alternative experiment - refer to map if needed,sqrt(BRTE),1/var sqrt BRTE,Residual sqrt(BRTE),1/var percent BRTE,Residual percent BRTE,Residual Sqrt(BRTE count),1/var Height,Residual Sqrt(Introduced forbs),1/var Bare+Rock,Residual Rock+Bare
yes,NV,6/3/2019,one,1,mono low,,Fall,greenstrip,mono,low,no water,POFE,UC,42,29,54.71698113,23,43.39622642,9.5,0,0.5,0.5,0.5,0.5,0.5,9,20,0,9,4,,,,,5.385164807,0.373068786,,0.002739843,,-3.335017563,0.019162182,,0.002363358,
yes,NV,6/4/2019,one,2,mono high,,Spring,greenstrip,mono,high,no water,POFE,UC,46,25,83.33333333,4,13.33333333,33,0,0.5,0.5,0,1,3,30,15,0,23,3,3,3,,,5,0.476449874,,0.003546768,,-1.071525203,0.019227796,,0.002942134,
yes,NV,6/4/2019,one,2,C5W,C5W,Spring,control,na,na,na,na,na,,46,69.6969697,13,19.6969697,0,7,0,0,0,0,0,0,30,1,13,4,5,5,,,6.782329983,0.476449874,,0.003546768,,-1.985280524,0.019227796,,0.002942134,
yes,NV,6/3/2019,one,1,mono low,,Fall,greenstrip,mono,low,no water,POFE,C,18,25,58.82352941,11,25.88235294,27.5,5,1,0.5,0,1,0.5,27,18,0,28,4,,,moved quadrat south to avoid road,,5,0.373068786,,0.002739843,,-1.043514941,0.019162182,,0.002363358,
yes,NV,6/3/2019,one,1,mono low,,Fall,greenstrip,mono,low,no water,VUMI,UC,46,30,45.45454546,34,51.51515152,11.5,0,0,2,0,0.5,0.5,11,33,0,11,4,,,,,5.477225575,0.373068786,,0.002739843,,-3.018392773,0.019162182,,0.002363358,
,NV,6/1/2019,one,1,mono low water,,Fall,greenstrip,mono,low,water,ELTR,UC,54,32,75.29411765,10,23.52941176,37.5,0.5,0,0,0,0.5,0.5,37,22,1,28,4,5,5,,,5.65685425,0.373068786,-0.234424226,0.002739843,16.64040612,-1.043514941,0.019162182,-1.136055782,0.002363358,-6.046235351
,NV,6/2/2019,one,1,mix high,,Fall,greenstrip,mix,high,no water,na,C,54,35,76.08695652,11,23.91304348,37,0,0,0,0,0.5,0,37,32,1,43,4,5,5,,,5.916079783,0.373068786,0.024801308,0.002739843,17.43324499,0.222420961,0.019162182,-0.981708652,0.002363358,-6.546235351
,NV,5/31/2019,one,1,mono high water,,Fall,greenstrip,mono,high,water,POSE,C,54,24,52.17391304,22,47.82608696,37,0,0,0,0,0.5,0,37,25,0,31,4,4,4,,,4.898979486,0.373068786,-0.992298989,0.002739843,-6.479798488,-0.767253201,0.019162182,0.392082317,0.002363358,-6.546235351
,NV,6/20/2019,three,8,mix low,,Ungrazed,greenstrip,mix,low,no water,na,UC,54,0,0,4,80,75.5,1,0,0,0,3,0.5,75,11,0,27,2,2,2,,,0,0.274048306,-5.639711441,0.002688175,-57.74486073,-1.113839698,0.013893113,-1.810852883,0.002079164,31.18793534
,NV,6/1/2019,one,1,C3,C3,Fall,control,na,na,na,na,na,na,50,82.6446281,9,14.87603306,22,0.5,0,1,0,2,0,22,25,0,36,4,5,4,,,7.071067812,0.373068786,1.167095156,0.002739843,27.30603253,-0.498457341,0.019162182,-1.658495185,0.002363358,-14.77777778
,NV,6/5/2019,one,3,mix high,,Ungrazed,greenstrip,mix,high,no water,na,UC,14,34,69.3877551,13,26.53061224,36,2,0,0,0,0,0,36,26,3,41,4,5,5,,,5.830951895,0.274048306,0.191240454,0.002688175,11.64289438,0.093132117,0.013893113,-0.205301608,0.002079164,-8.312064661
,NV,6/1/2019,one,1,C1,C1,Fall,control,na,na,na,na,na,na,28,51.85185185,25,46.2962963,32,0,0,1,0,0.5,0,32,23,0,4,4,4,3,BRTE count taken in southeast corner of C1. Seems there's more biodiversity along west edge of fence. ____ Poa count unusual? POFE and POSE (picture),,5.291502622,0.373068786,-0.612470033,0.002739843,-3.486743719,-4.498457341,0.019162182,0.341504815,0.002363358,-4.777777778
,NV,6/20/2019,three,8,mix low,,Ungrazed,greenstrip,mix,low,no water,na,C,14,0,0,3,60,81,0,0,2,0,0.5,1,80,18,0,31,2,2,2,large ELEL ~1/2 from NW corner,,0,0.274048306,-5.639711441,0.002688175,-57.74486073,-0.742227757,0.013893113,-2.078802076,0.002079164,36.68793534
,NV,6/2/2019,one,1,mix low water,,Fall,greenstrip,mix,low,water,na,UC,14,25,79.36507937,6,19.04761905,55.5,0.5,0,0,0,0.5,0.5,55,17,1,20,4,5,5,,,5,0.373068786,-0.891278475,0.002739843,20.71136783,-1.862881608,0.019162182,-1.8488437,0.002363358,11.95376465
,NV,6/7/2019,one,3,mono high,,Ungrazed,greenstrip,mono,high,no water,ELEL,C,10,30,58.82352941,13,25.49019608,36,5,3,0,0.5,0.5,1,35,26,2,82,5,5,5,,,5.477225575,0.274048306,-0.162485866,0.002688175,1.078668685,2.745393018,0.013893113,-0.205301608,0.002079164,-8.312064661
,NV,6/8/2019,two,4,mono high,,Spring,greenstrip,mono,high,no water,POFE,C,10,43,73.5042735,9,15.38461538,29.5,6,0.5,0,0,0.5,0.5,29,27,6,42,4,5,5,2% cow patty at 10m,,6.557438524,0.476449874,1.008711299,0.003546768,17.84285558,0.613383972,0.019227796,-1.241584955,0.002942134,-15.67160752
,NV,6/18/2019,three,8,mono low,,Ungrazed,greenstrip,mono,low,no water,VUMI,UC,46,28,70,10,25,48,0,0,2,0,0.5,0,48,27,0,13,3,5,5,,,5.291502622,0.274048306,-0.348208819,0.002688175,12.25513927,-2.704440845,0.013893113,-0.648575223,0.002079164,3.687935339
,NV,6/18/2019,three,8,mono low,,Ungrazed,greenstrip,mono,low,no water,ELTR,C,18,35,76.08695652,3,6.52173913,42,0,0,8,0,1,0,42,25,0,44,4,5,5,,,5.916079783,0.274048306,0.276368342,0.002688175,18.3420958,0.32325746,0.013893113,-2.078802076,0.002079164,-2.312064661
,NV,6/18/2019,three,8,mono low,,Ungrazed,greenstrip,mono,low,no water,POSE,UC,50,14,36.84210526,1,2.631578947,50,22,0,1,0,1,0,50,25,5,11,3,4,3,,,3.741657387,0.274048306,-1.898054054,0.002688175,-20.90275546,-2.99336733,0.013893113,-2.810852883,0.002079164,5.687935339
,NV,6/7/2019,one,3,mono high,,Ungrazed,greenstrip,mono,high,no water,POSE,C,2,28,57.14285714,15,30.6122449,39,4,2,0,1,0.5,1,38,25,2,48,4,5,5,,,5.291502622,0.274048306,-0.348208819,0.002688175,-0.602003584,0.61821111,0.013893113,0.062130463,0.002079164,-5.312064661
,NV,6/5/2019,one,3,C1W,C1W,Ungrazed,control,na,na,na,na,na,,25,49.01960784,22,43.1372549,39,4,0,0,0,0,15,24,20,6,19,4,4,4,,,5,0.274048306,-1.007130872,0.002688175,-10.29039609,-2.469359366,0.013893113,0.553852769,0.002079164,-2.25
,NV,6/8/2019,two,4,mix high,,Spring,greenstrip,mix,high,no water,na,C,46,32,45.07042254,37,52.11267606,19,0.5,0.5,1,0,0.5,0,19,33,0,34,5,5,5,,,5.65685425,0.476449874,0.108127024,0.003546768,-10.59099539,-0.036404832,0.019227796,1.841177575,0.002942134,-26.17160752
,NV,6/9/2019,two,5,kochia 2x,,Fall,greenstrip,na,na,no water,na,na,50,30,49.58677686,28,46.28099174,29,0,0.5,2,0,1,0,29,40,0,53,5,5,5,,,5.477225575,0.373068786,-0.4140529,0.002739843,-9.066934672,0.945092326,0.019162182,0.99316918,0.002363358,-14.54623535
,NV,6/2/2019,one,1,mix high,,Fall,greenstrip,mix,high,no water,na,UC,6,25,48.54368932,22,42.7184466,38.5,4,0.5,0,0,1,0.5,38,23,2,12,5,5,5,,,5,0.373068786,-0.891278475,0.002739843,-10.11002221,-2.870915948,0.019162182,0.392082317,0.002363358,-5.046235351
,NV,6/8/2019,two,4,mono high,,Spring,greenstrip,mono,high,no water,POSE,UC,58,42,64.12213741,18,27.48091603,25,5,0.5,0,0,0.5,0,25,33,4,58,5,5,5,58m was moved to 59m due to hole,,6.480740698,0.476449874,0.932013473,0.003546768,8.460719478,1.748416379,0.019227796,0.001055732,0.002942134,-20.17160752
,NV,6/10/2019,two,5,mix low,,Fall,greenstrip,mix,low,no water,na,UC,54,38,76,9,18,40,1,0,2,0.5,0.5,1,39,28,4,48,5,5,5,native moss at 54m,,6.164414003,0.373068786,0.273135528,0.002739843,17.34628847,0.593185667,0.019162182,-1.298333443,0.002363358,-3.546235351
,NV,6/19/2019,three,8,mono low water,,Ungrazed,greenstrip,mono,low,water,VUMI,C,50,62,96.12403101,2,3.100775194,26,0,0,0.5,0,0.5,0,26,28,0,94,4,5,5,,S 1/2 fell on tire mark/flattened,7.874007874,0.274048306,2.234296433,0.002688175,38.37917028,3.385367595,0.013893113,-2.396639321,0.002079164,-18.31206466
,NV,6/2/2019,one,1,mix low water,,Fall,greenstrip,mix,low,water,na,C,46,28,43.75,35,54.6875,27,1,0,0,0,0.5,1,26,20,0,27,4,5,4,,,5.291502622,0.373068786,-0.599775853,0.002739843,-14.90371153,-1.138865141,0.019162182,1.617746341,0.002363358,-16.54623535
,NV,5/31/2019,one,1,mono high water,,Fall,greenstrip,mono,high,water,ELTR,C,58,28,69.13580247,12,29.62962963,50,0,0,0.5,0.5,0.5,0,50,21,0,28,4,4,5,,,5.291502622,0.373068786,-0.599775853,0.002739843,10.48209094,-1.043514941,0.019162182,-0.834231827,0.002363358,6.453764649
,NV,6/7/2019,two,4,C5,C5,Spring,control,na,na,na,na,na,,26,39.69465649,32,48.85496183,25,0.5,2,5,0,1,0,25,28,0,27,4,5,5,,,5.099019514,0.476449874,-0.346420337,0.003546768,-15.06500361,-0.394679377,0.019227796,1.334946822,0.002942134,-21.93069133
,NV,6/10/2019,two,6,C4,C4,Ungrazed,control,na,na,na,na,na,,37,61.66666667,22,36.66666667,29.5,0,0,1,0,2,0.5,29,29,0,62,4,5,5,,,6.08276253,0.274048306,0.075631659,0.002688175,2.35666273,1.045749565,0.013893113,0.553852769,0.002079164,-11.75
,NV,6/2/2019,one,1,mix low,,Fall,greenstrip,mix,low,no water,na,UC,14,35,57.85123967,23,38.01652893,30.5,2,0,0.5,0.5,0.5,0.5,30,25,2,36,4,5,4,,,5.916079783,0.373068786,0.024801308,0.002739843,-0.802471862,-0.335017563,0.019162182,0.497498081,0.002363358,-13.04623535
